bit_index, EMD
4935, 1.3588763171391047
5220, 1.3587613643508147
7, 1.3586177027802127
705, 1.3585540455193188
2640, 1.3584319577888628
4646, 1.3581782410164482
3015, 1.3581724041888483
4610, 1.3580607234913762
2030, 1.357340885984927
4955, 1.3573262218564628
5046, 1.3572847667849486
22, 1.357195374171281
8125, 1.357166494527494
4641, 1.3569114996906269
2436, 1.3567418081165976
2396, 1.3566117479992483
3920, 1.3558226229934904
2416, 1.3556446057294287
8806, 1.3551985781071838
3605, 1.3541337784401022
2075, 1.3538243346822725
155, 1.3537210449782209
156, 1.3537210449782209
131, 1.3535849956679102
2415, 1.3534742922606462
2070, 1.3528276612186256
4580, 1.3526712671544132
8195, 1.3526126015379139
1131, 1.3522226916865177
4932, 1.3517645272809953
2402, 1.3517356328696586
4560, 1.3515314028713954
2740, 1.351454538786558
2320, 1.3509964752123094
8791, 1.3509173022171694
1740, 1.3507722449974238
2361, 1.350675339174312
480, 1.3505331357883001
4345, 1.3503753914337822
3010, 1.3502411648474522
4991, 1.3502112498362826
5590, 1.3499429153840987
5636, 1.3498816016255804
8810, 1.3498311827379739
8780, 1.3498054450756536
2430, 1.3495437637508014
8730, 1.349204313778904
3715, 1.3490179210008333
4600, 1.349014967850521
4310, 1.3489829614548436
8455, 1.348806757229604
5841, 1.3482733806848761
6240, 1.3480081771203705
8375, 1.347921938021484
8100, 1.3478316446209264
4651, 1.347803102054431
5606, 1.3477425141866282
2100, 1.3475845897299332
300, 1.3475211038956658
3950, 1.3475042513138344
1080, 1.3472379073588105
2011, 1.346921609717732
5515, 1.3468883960781555
4830, 1.3461767942847052
486, 1.3458047532817359
1000, 1.3457427321147701
8177, 1.345243462517545
5060, 1.3450073334759387
3585, 1.3448213546730803
8340, 1.3447518104971214
1975, 1.3447137768129522
4285, 1.3446406134689526
3640, 1.344552479543803
1762, 1.3443970870449804
2755, 1.344190036306428
3930, 1.3441717711682026
5816, 1.3439989552544949
8832, 1.343866756298305
452, 1.343606028176116
3026, 1.3435199024569706
8415, 1.3432489814242516
8495, 1.3428892851619052
1795, 1.3428882048817128
8811, 1.3428402546445948
2435, 1.342824776327678
1890, 1.3426593429697584
8726, 1.3426549263806158
3935, 1.3426318847021799
515, 1.3425717962752222
1925, 1.3423196153384915
750, 1.342316598471099
