Hessian ranking (weighted sum * eigenvalue) for model (param idx, rank)
422, 0.7370810948777944
676, 0.7344322317803744
1702, 0.7332999001373537
745, 0.7282579294987954
88, 0.7183333939392469
1139, 0.7110730813001283
98, 0.7097208799095824
1287, 0.7071900542359799
292, 0.6894110157045361
1256, 0.6890156227746047
183, 0.6883965523084044
116, 0.6828030461911112
1063, 0.6726103001274168
804, 0.6646289930795319
807, 0.6583336847834289
244, 0.6541969217723818
548, 0.6464680589269847
1719, 0.6452736061764881
1671, 0.6449763794953469
948, 0.6406967362272553
863, 0.6357750266324729
2072, 0.6317599139874801
1944, 0.6317599139874801
1560, 0.6317599139874801
1432, 0.6317599139874801
1060, 0.6308014060487039
935, 0.6265786534640938
1198, 0.6217858383897692
1014, 0.6204941336764023
1272, 0.6196534111513756
164, 0.6196151486947201
1078, 0.619614286813885
1827, 0.6165447200910421
419, 0.6159228902106406
944, 0.6136870547197759
100, 0.6048597693734337
280, 0.5976971739437431
1013, 0.58523220627103
1077, 0.5779743384337053
858, 0.575314607074688
29, 0.5753023682627827
920, 0.574335758225061
1187, 0.5740746312949341
558, 0.5732772126793861
1065, 0.571415925223846
803, 0.5630457500228658
864, 0.5629809637321159
1001, 0.5626488896086812
1651, 0.5612262926879339
938, 0.5586990988813341
1562, 0.5583152354229242
2074, 0.5583152354229242
1434, 0.5583152354229242
1946, 0.5583152354229242
1715, 0.5545872326911194
1816, 0.5525861444184557
372, 0.5524136129533872
1133, 0.5513110544998199
420, 0.5490863240556791
932, 0.5437270133370475
1048, 0.5431614140688907
825, 0.5431029920000583
11, 0.5429485386630404
881, 0.534993226028746
894, 0.5346622127108276
1818, 0.5276713762432337
1047, 0.5214119905140251
879, 0.5211077028652653
824, 0.5197531433077529
809, 0.5083888095759903
1128, 0.5081991441547871
1335, 0.5069348450051621
1306, 0.5068761960719712
756, 0.5035437346668914
1640, 0.49955558698275127
664, 0.496810162672773
282, 0.49655505787814036
154, 0.4955666169989854
808, 0.49167774950910825
1690, 0.48994277813471854
1049, 0.48726215516217053
1304, 0.48715210298541933
152, 0.4830261868191883
900, 0.47915583483700175
666, 0.4784311992407311
793, 0.4776296998606995
105, 0.4720460516109597
792, 0.47190701053477824
943, 0.4671573020750657
168, 0.4668204328918364
1699, 0.4601268595433794
536, 0.4535958393244073
5, 0.45305801869835705
