Hessian ranking (weighted sum * eigenvalue) for layer encoded_vector (param idx, rank)
841, 3.217029651394114
1665, 3.2023224663280416
1597, 3.157793484919239
824, 3.1507969351951033
365, 3.1455499067669734
351, 3.096665848977864
74, 3.0943316092016175
287, 3.0753723353846
828, 3.0584537244867533
1205, 3.049965556478128
973, 3.0114825998898596
1617, 2.9897608750034124
314, 2.983688090927899
1688, 2.973801475018263
892, 2.9528960838215426
140, 2.9523914346209494
917, 2.9466701655182987
881, 2.917633764212951
1057, 2.8922361828153953
845, 2.884152914164588
366, 2.8810347043909132
445, 2.868001385999378
801, 2.826642676256597
317, 2.8243463411927223
1213, 2.813009658595547
124, 2.8004325486253947
200, 2.7962991944514215
460, 2.7935013889800757
1055, 2.792325837071985
1176, 2.7848959234543145
1246, 2.7595763029530644
108, 2.7292207909049466
141, 2.708050233311951
588, 2.698774323798716
715, 2.6857977731269784
446, 2.672203508205712
850, 2.659471118822694
583, 2.6222544037736952
712, 2.6072336765937507
810, 2.6041179643943906
322, 2.5779544312972575
711, 2.57551415450871
273, 2.5695930931833573
18, 2.5362177950446494
859, 2.5348019333323464
277, 2.499261812772602
719, 2.4880464096204378
1058, 2.4499287521466613
21, 2.42541443173468
1605, 2.419653638964519
16, 2.407917015720159
888, 2.3891747028101236
972, 2.3549206720199436
1022, 2.3547728694975376
336, 2.353384613059461
837, 2.3454063306562603
143, 2.3435535228345543
185, 2.3330955021083355
1546, 2.3290023856097832
385, 2.304418229032308
105, 2.30023506260477
94, 2.2693045120686293
1221, 2.269170898827724
807, 2.2572017832426354
578, 2.2176369874505326
800, 2.2123939350713044
1551, 2.2123366286978126
1020, 2.20817458210513
115, 2.190122586878715
478, 2.1534795775078237
339, 2.14651323761791
462, 2.1098190906341188
1609, 2.10871863598004
1017, 2.083720377413556
1687, 2.0789587520994246
1054, 2.076222913339734
1201, 2.0675346213392913
274, 2.0647645918652415
537, 2.06258749042172
1056, 2.0516762604238465
542, 2.04277570231352
319, 2.0412184251472354
821, 2.028534250683151
887, 2.0201465224381536
88, 2.001040409086272
886, 1.9949881859356537
1614, 1.9939875424606726
835, 1.9873024225234985
202, 1.9705091369105503
535, 1.9633663669228554
963, 1.9260363108332967
275, 1.9102444318123162
89, 1.9101890581659973
472, 1.9099459288991056
1613, 1.877761602459941
1593, 1.8754389726091176
1585, 1.8678896920755506
470, 1.8576592265744694
968, 1.8569479072175454
941, 1.853390013682656
1672, 1.8529550966341048
1598, 1.8513580597937107
467, 1.822554092403152
1174, 1.8167879827669822
1229, 1.812592297559604
320, 1.7915655174292624
321, 1.7901591560221277
312, 1.7701511562336236
966, 1.7649356301990338
1179, 1.7507151606841944
327, 1.744033427676186
1034, 1.711010315688327
891, 1.7089806047733873
456, 1.705098373349756
961, 1.6917861909023486
363, 1.6906992337317206
313, 1.6897827498614788
916, 1.6876031958672684
1094, 1.6858940890524536
476, 1.6732545136474073
536, 1.6508240089460742
186, 1.6378616853617132
666, 1.6272875720169395
582, 1.627154202084057
106, 1.6147931788582355
443, 1.613241322687827
829, 1.605710858013481
337, 1.6013727099634707
359, 1.598125895485282
384, 1.5938229995081201
581, 1.586066163610667
808, 1.5813812634442002
1170, 1.5700754337012768
1008, 1.5671561387134716
1091, 1.565432415343821
1738, 1.5652737520285882
1240, 1.5621784590184689
176, 1.5614837364992127
1035, 1.55831802560715
533, 1.544165663937747
96, 1.539491033530794
1014, 1.532561142113991
1238, 1.5239101932529593
