Hessian ranking (sum eigenvector components) for model (bit idx, rank)
501, 15.21909699589014
222, 15.210184581577778
506, 15.185091558843851
1025, 15.076242789626122
1030, 15.055535182356834
1035, 15.05531962774694
511, 15.040342956781387
78, 14.947544667869806
1040, 14.924085984937847
227, 14.916387513279915
1045, 14.820228591561317
1050, 14.818045176565647
516, 14.811515048146248
1055, 14.779656052589417
521, 14.755923569202423
526, 14.750974372029305
1060, 14.650589793920517
1065, 14.6407735273242
83, 14.595626600086689
1070, 14.562839686870575
88, 14.558655977249146
1075, 14.552945211529732
1080, 14.52028938382864
1085, 14.484133819118142
1090, 14.472949862480164
232, 14.316661494318396
1095, 14.311589047312737
1100, 14.228717103600502
1105, 14.172739688307047
1110, 14.166897147893906
1115, 14.108089447021484
531, 14.088430639356375
1120, 14.064413756132126
1125, 14.014808997511864
1130, 13.917110785841942
536, 13.899986065924168
1135, 13.858906611800194
237, 13.852038819342852
541, 13.832322891801596
93, 13.769333526492119
546, 13.733890950679779
1140, 13.721556305885315
551, 13.698138952255249
1145, 13.660804688930511
1150, 13.621597241610289
1155, 13.60005271434784
1160, 13.564400464296341
556, 13.538601327687502
561, 13.517842069268227
1165, 13.472353480756283
1170, 13.422005295753479
1175, 13.415411680936813
566, 13.411870684474707
571, 13.385547187179327
576, 13.346394181251526
98, 13.345637967810035
1180, 13.317144520580769
581, 13.179367780685425
1185, 13.161018311977386
1190, 13.13148095458746
24, 13.113361656665802
1195, 13.109155923128128
103, 13.076873168349266
586, 13.049910511821508
591, 13.04688310623169
596, 13.042420610785484
1200, 12.987319830805063
601, 12.972732238471508
606, 12.923632975667715
242, 12.886608108878136
1205, 12.838501445949078
29, 12.790521956980228
247, 12.708098191767931
252, 12.671639724110719
1210, 12.592472314834595
611, 12.574605904519558
1215, 12.531972203403711
616, 12.531356036663055
1220, 12.528708584606647
257, 12.52244920283556
1225, 12.440444491803646
1230, 12.424803867936134
262, 12.348085477948189
1235, 12.347572088241577
1240, 12.337375802919269
621, 12.230084840208292
267, 12.216164385899901
272, 12.161928959190845
1245, 12.16171669960022
108, 12.100963855162263
1250, 12.093997478485107
113, 12.08974740281701
1255, 12.072392866015434
626, 12.026893792673945
631, 11.984595403075218
1260, 11.983667522668839
277, 11.976287331432104
1265, 11.95744915585965
1270, 11.949904531240463
